binsize,brightest_detector,dec,distance,index,name,ra,refGRBname,sigma,t90
1.0,n0,-87.4786111111111,3761.0,3,GRB180630467,48.95875,GRB120403857,33.737,12.032
0.1,n3,-86.0,211693.0,6,GRB150312403,285.48999999999995,GRB141205018,524.484,0.32
1.0,n3,-80.45,2762.0,17,GRB170130697,296.39,GRB141205018,20.515,29.184
1.0,n2,-79.82,1169.0,23,GRB220415645,298.37999999999994,GRB141205018,3.812,23.04
1.0,n0,-83.33,1625.0,12,GRB200607921,41.32999999999999,GRB180630467,6.455,26.625
1.0,na,-85.93,1312.0,7,GRB110520302,71.00999999999999,GRB170116238,4.673,12.288
0.1,n3,-86.0,223513.0,6,GRB150312403,285.48999999999995,GRB091026550,468.334,0.32
1.0,n2,-77.26472222222222,6662.0,34,GRB101024486,66.50625,GRB110520302,55.687,20.224
1.0,n6,-83.38,1115.0,11,GRB220430900,9.01,GRB121216419,4.127,30.464
1.0,n2,-78.2,2809.0,29,GRB171206122,9.48,GRB121216419,20.99,15.36
1.0,n8,-82.69,57991.0,13,GRB160326062,188.15,GRB101227195,224.205,19.456
1.0,n9,-74.0,23236.0,26,GRB080714425,187.5,GRB101227195,81.695,40.192
1.0,n9,-79.01,3804.0,27,GRB100507577,2.8999999999999995,GRB220430900,21.766,44.033
1.0,n2,-78.2,2950.0,29,GRB171206122,9.48,GRB220430900,14.695,15.36
1.0,n1,-75.61999999999999,1877.0,50,GRB170121067,3.03,GRB220430900,5.811,2.304
0.1,n0,-81.2,202515.0,16,GRB101116481,32.0,GRB200607921,980.456,0.576
1,n6,-78.38,26725.0,28,GRB200907957,34.49999999999999,GRB200607921,206.389,140.803
